Table 4. Average Retail Price for Bundled and Unbundled,,,,,,,
"              Consumers by Sector, Census Division, and State, 2009",,,,,,,
              (Cents per kilowatthour),,,,,,,
 Census Division , Residential , Commercial, Industrial, Transportation, All Sectors,,
      State ,,,,,,,
New England                                       ,17.47,15.23,13.44, 8.21 ,15.65,,
Connecticut                                       ,20.33,16.86,14.92, 11.96 ,18.06,,
Maine                                             ,15.65,12.55,9.95, - ,13.09,,
Massachusetts                                     ,16.87,15.37,14.08, 6.23 ,15.45,,
New Hampshire                                     ,16.26,14.55,13.83, - ,15.13,,
Rhode Island                                      ,15.60,13.67,12.25, - ,14.23,,
Vermont                                           ,14.90,12.93,9.21, - ,12.75,,
Middle Atlantic                                   ,14.84,13.38,8.15, 11.96 ,12.94,,
New Jersey                                        ,16.31,13.83,11.81, 12.37 ,14.52,,
New York                                          ,17.50,15.51,8.98, 13.13 ,15.52,,
Pennsylvania                                      ,11.65,9.54,7.21, 7.77 ,9.60,,
East North Central                                ,10.92,9.84,6.00, 8.62 ,8.91,,
Illinois                                          ,11.27,11.31,4.33, 8.40 ,9.17,,
Indiana                                           ,9.50,8.32,5.81, 9.65 ,7.62,,
Michigan                                          ,11.60,9.24,6.99, 10.79 ,9.40,,
Ohio                                              ,10.67,9.65,6.71, 10.73 ,9.01,,
Wisconsin                                         ,11.94,9.57,6.73, - ,9.38,,
West North Central                                ,9.14,7.43,5.72, 6.79 ,7.57,,
Iowa                                              ,9.99,7.55,5.27, - ,7.37,,
Kansas                                            ,9.53,7.87,6.10, - ,7.98,,
Minnesota                                         ,10.04,7.92,6.26, 7.73 ,8.14,,
Missouri                                          ,8.54,6.96,5.42, 5.83 ,7.35,,
Nebraska                                          ,8.52,7.33,5.75, - ,7.21,,
North Dakota                                      ,7.58,6.81,5.25, - ,6.63,,
South Dakota                                      ,8.49,7.14,5.65, - ,7.39,,
South Atlantic                                    ,11.32,9.61,6.69, 10.22 ,9.87,,
Delaware                                          ,14.07,11.98,9.34, - ,12.14,,
District of Columbia                              ,13.76,12.96,8.41, 12.77 ,12.97,,
Florida                                           ,12.39,10.77,9.32, 10.48 ,11.49,,
Georgia                                           ,10.13,8.94,6.12, 7.03 ,8.81,,
Maryland                                          ,14.98,11.97,9.92, 10.43 ,13.08,,
North Carolina                                    ,9.99,7.98,5.99, 6.83 ,8.48,,
South Carolina                                    ,10.44,8.74,5.79, - ,8.42,,
Virginia                                          ,10.61,8.06,6.91, 8.42 ,8.93,,
West Virginia                                     ,7.90,6.77,5.24, 7.56 ,6.65,,
East South Central                                ,9.61,9.26,5.83, 10.69 ,8.13,,
Alabama                                           ,10.66,10.05,5.96, - ,8.83,,
Kentucky                                          ,8.37,7.63,4.91, - ,6.52,,
Mississippi                                       ,10.22,9.50,6.61, - ,8.85,,
Tennessee                                         ,9.32,9.61,6.76, 10.69 ,8.69,,
West South Central                                ,11.04,8.94,6.21, 9.87 ,8.94,,
Arkansas                                          ,9.14,7.56,5.76, 12.32 ,7.57,,
Louisiana                                         ,8.10,7.69,5.25, 10.09 ,7.06,,
Oklahoma                                          ,8.49,6.76,4.82, - ,6.94,,
Texas                                             ,12.38,9.66,6.74, 9.83 ,9.86,,
Mountain                                          ,10.18,8.53,6.09, 8.38 ,8.41,,
Arizona                                           ,10.73,9.35,6.65, - ,9.56,,
Colorado                                          ,10.00,8.15,6.39, 8.14 ,8.31,,
Idaho                                             ,7.80,6.49,5.17, - ,6.51,,
Montana                                           ,8.93,8.32,5.45, - ,7.57,,
Nevada                                            ,12.86,10.64,7.97, 9.95 ,10.36,,
New Mexico                                        ,10.02,8.40,5.72, - ,8.09,,
Utah                                              ,8.48,6.96,4.81, 8.31 ,6.77,,
Wyoming                                           ,8.58,7.28,4.83, - ,6.08,,
Pacific Contiguous                                ,12.15,11.69,7.83, 8.38 ,11.04,,
California                                        ,14.74,13.42,10.07, 8.43 ,13.24,,
Oregon                                            ,8.68,7.49,5.45, 6.83 ,7.48,,
Washington                                        ,7.68,6.96,4.43, 5.91 ,6.60,,
Pacific Noncontiguous                             ,21.31,18.48,16.83, - ,18.87,,
Alaska                                            ,17.14,14.46,13.15, - ,15.09,,
Hawaii                                            ,24.20,21.86,18.14, - ,21.21,,
U.S. Total                                        ,11.51,10.26,6.70, 10.65 ,9.83,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
